                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.7283,                0.64025,                 1.1147,                 0.0944,                      1,                0.09755,                0.08348,                0.77849,                 5.2329,                 1.2124,             0.00079823,             0.00079823,             0.00079823
                     80,                0.69877,                0.67738,                 1.0803,                 0.0944,                      1,                0.09755,                0.08348,                0.77849,                 5.2329,                 1.2124,             0.00080194,             0.00080194,             0.00080194
                     81,                0.60723,                0.76957,                 1.1544,                0.27363,                0.98048,                0.29198,                0.25624,                0.69361,                 3.9318,                 1.1171,             0.00080549,             0.00080549,             0.00080549
                     82,                 0.6286,                0.52463,                 1.0757,                0.27363,                0.98048,                0.29198,                0.25624,                0.69361,                 3.9318,                 1.1171,             0.00080888,             0.00080888,             0.00080888
                     83,                0.75681,                0.59422,                 1.0496,                0.27363,                0.98048,                0.29198,                0.25624,                0.69361,                 3.9318,                 1.1171,              0.0008121,              0.0008121,              0.0008121
                     84,                0.64812,                0.60686,                 1.0978,                0.72875,                      1,                0.92833,                0.79834,                0.84767,                 2.2216,                 1.1441,             0.00081515,             0.00081515,             0.00081515
                     85,                0.79412,                0.72356,                 1.3038,                0.72875,                      1,                0.92833,                0.79834,                0.84767,                 2.2216,                 1.1441,             0.00081804,             0.00081804,             0.00081804
                     86,                0.58509,                0.49859,                 1.1109,                0.72875,                      1,                0.92833,                0.79834,                0.84767,                 2.2216,                 1.1441,             0.00082077,             0.00082077,             0.00082077
                     87,                0.63466,                0.51924,                 1.1332,                0.72875,                      1,                0.92833,                0.79834,                0.84767,                 2.2216,                 1.1441,             0.00082333,             0.00082333,             0.00082333
                     88,                0.70914,                0.59178,                 1.0855,                0.70269,                      1,                  0.995,                0.68579,                 1.0188,                 2.5162,                 1.2056,             0.00082572,             0.00082572,             0.00082572
                     89,                0.60377,                0.58576,                 1.0247,                0.70269,                      1,                  0.995,                0.68579,                 1.0188,                 2.5162,                 1.2056,             0.00082795,             0.00082795,             0.00082795
