                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.52363,                0.82605,                 1.0501,                0.97945,                    0.8,                  0.895,                0.76539,                0.74674,                 1.7752,                 1.1463,             0.00050263,             0.00050263,             0.00050263
                     56,                0.43841,                 1.0018,                 1.0209,                0.98092,                    0.8,                0.87833,                0.77206,                0.81064,                 1.7853,                 1.1485,             0.00050105,             0.00050105,             0.00050105
                     57,                0.53456,                0.99858,                  1.161,                0.98092,                    0.8,                0.87833,                0.77206,                0.81064,                 1.7853,                 1.1485,             0.00049907,             0.00049907,             0.00049907
                     58,                 0.6318,                0.88466,                 1.1531,                0.97308,                    0.8,                 0.8575,                0.77266,                0.53405,                 1.8051,                0.88084,              0.0004967,              0.0004967,              0.0004967
                     59,                0.52187,                0.81206,                0.99125,                0.97308,                    0.8,                 0.8575,                0.77266,                0.53405,                 1.8051,                0.88084,             0.00049393,             0.00049393,             0.00049393
                     60,                0.46063,                0.80596,                 1.0302,                0.97308,                    0.8,                 0.8575,                0.77266,                0.53405,                 1.8051,                0.88084,             0.00049076,             0.00049076,             0.00049076
                     61,                0.42254,                0.74847,                0.95694,                0.96066,                    0.8,                  0.845,                0.78521,                0.50048,                 1.7324,                0.83714,              0.0004872,              0.0004872,              0.0004872
                     62,                 0.4569,                0.83405,                 1.0134,                0.96066,                    0.8,                  0.845,                0.78521,                0.50048,                 1.7324,                0.83714,             0.00048324,             0.00048324,             0.00048324
                     63,                0.48537,                0.81988,                 1.0105,                0.96066,                    0.8,                  0.845,                0.78521,                0.50048,                 1.7324,                0.83714,             0.00047889,             0.00047889,             0.00047889
                     64,                0.60708,                0.93895,                 1.0677,                0.79345,                    0.8,                0.86643,                0.78867,                0.50209,                 1.6621,                0.80741,             0.00047414,             0.00047414,             0.00047414
                     65,                0.40878,                0.70768,                0.95393,                0.79345,                    0.8,                0.86643,                0.78867,                0.50209,                 1.6621,                0.80741,             0.00046899,             0.00046899,             0.00046899
                     66,                0.44608,                0.77581,                0.98343,                0.79345,                    0.8,                0.86643,                0.78867,                0.50209,                 1.6621,                0.80741,             0.00046345,             0.00046345,             0.00046345
                     67,                0.50745,                0.80396,                 1.0485,                0.79975,                    0.8,                0.90611,                0.84486,                0.48079,                 1.6239,                 0.7985,             0.00045751,             0.00045751,             0.00045751
                     68,                0.47656,                 0.7298,                 1.0164,                0.79975,                    0.8,                0.90611,                0.84486,                0.48079,                 1.6239,                 0.7985,             0.00045118,             0.00045118,             0.00045118
                     69,                0.57823,                 0.8465,                 1.0716,                0.79975,                    0.8,                0.90611,                0.84486,                0.48079,                 1.6239,                 0.7985,             0.00044445,             0.00044445,             0.00044445
                     70,                 0.5112,                0.79045,                 1.0298,                0.97523,                    0.8,                0.93786,                0.88716,                0.34901,                 1.5015,                0.73851,             0.00043732,             0.00043732,             0.00043732
                     71,                0.61621,                 0.8158,                 1.0652,                0.97523,                    0.8,                0.93786,                0.88716,                0.34901,                 1.5015,                0.73851,              0.0004298,              0.0004298,              0.0004298
                     72,                 0.4138,                0.79557,                 1.0102,                0.97523,                    0.8,                0.93786,                0.88716,                0.34901,                 1.5015,                0.73851,             0.00042188,             0.00042188,             0.00042188
                     73,                0.42038,                0.68684,                 0.9274,                      1,                0.98728,                  0.995,                0.90505,                0.31286,                 1.3697,                0.69456,             0.00041357,             0.00041357,             0.00041357
                     74,                0.50554,                0.82417,                 1.0104,                      1,                0.98728,                  0.995,                0.90505,                0.31286,                 1.3697,                0.69456,             0.00040486,             0.00040486,             0.00040486
                     75,                0.48065,                0.78922,                0.97717,                      1,                0.98728,                  0.995,                0.90505,                0.31286,                 1.3697,                0.69456,             0.00039575,             0.00039575,             0.00039575
                     76,                0.46616,                0.77895,                0.98696,                0.97687,                    0.8,                0.96167,                0.93838,                0.35843,                 1.2681,                0.70573,             0.00038625,             0.00038625,             0.00038625
                     77,                0.46976,                0.80222,                 1.1028,                0.97687,                    0.8,                0.96167,                0.93838,                0.35843,                 1.2681,                0.70573,             0.00037635,             0.00037635,             0.00037635
                     78,                 0.5161,                 0.7355,                0.97676,                0.97687,                    0.8,                0.96167,                0.93838,                0.35843,                 1.2681,                0.70573,             0.00036606,             0.00036606,             0.00036606
                     79,                0.43481,                0.76854,                0.98003,                0.82785,                      1,                0.96167,                0.91507,                 0.3694,                 1.2184,                0.71088,             0.00035537,             0.00035537,             0.00035537
                     80,                0.47997,                0.70383,                0.96487,                0.82785,                      1,                0.96167,                0.91507,                 0.3694,                 1.2184,                0.71088,             0.00034428,             0.00034428,             0.00034428
                     81,                0.43311,                0.76026,                0.99508,                0.82785,                      1,                0.96167,                0.91507,                 0.3694,                 1.2184,                0.71088,              0.0003328,              0.0003328,              0.0003328
                     82,                0.55844,                0.90097,                 1.1341,                0.82279,                      1,                0.96167,                0.91507,                0.36203,                 1.1971,                0.72028,             0.00032092,             0.00032092,             0.00032092
                     83,                0.35583,                0.69085,                0.90183,                0.82279,                      1,                0.96167,                0.91507,                0.36203,                 1.1971,                0.72028,             0.00030865,             0.00030865,             0.00030865
                     84,                0.42156,                0.70998,                0.91599,                0.82279,                      1,                0.96167,                0.91507,                0.36203,                 1.1971,                0.72028,             0.00029598,             0.00029598,             0.00029598
                     85,                0.45392,                0.77891,                0.93853,                0.82313,                      1,                0.96167,                 0.9084,                0.33548,                 1.1619,                0.72008,             0.00028291,             0.00028291,             0.00028291
                     86,                0.33977,                0.68518,                0.93173,                0.82313,                      1,                0.96167,                 0.9084,                0.33548,                 1.1619,                0.72008,             0.00026945,             0.00026945,             0.00026945
                     87,                 0.4226,                0.73444,                 1.0101,                0.82313,                      1,                0.96167,                 0.9084,                0.33548,                 1.1619,                0.72008,             0.00025559,             0.00025559,             0.00025559
                     88,                0.48203,                0.79396,                 1.0013,                0.82252,                      1,                0.96167,                0.92838,                0.31871,                 1.1017,                0.71991,             0.00024134,             0.00024134,             0.00024134
                     89,                0.49544,                0.70308,                0.98789,                0.82252,                      1,                0.96167,                0.92838,                0.31871,                 1.1017,                0.71991,             0.00022669,             0.00022669,             0.00022669
